scope_id	match_dataset	match_version_year	match_record_type	match_name	match_abbreviation	scope_summary	topic_tags	keywords_zh	keywords_en	article_types	accepts_original_research	submission_mode	scope_context	scope_year	out_of_scope	source_type	source_url	source_accessed_at	evidence	review_status	reviewed_by	reviewed_at	review_notes	secondary_source_urls	target_status
ccf-2026-hpdc-main-2026	ccf	2026	conference	The International ACM Symposium on High-Performance Parallel and Distributed Computing	HPDC	高性能并行与分布式计算系统，包括集群、云、边缘、网格、运行时与中间件、资源调度、数据密集计算、性能、能效和韧性。	parallel_hpc;distributed_cloud_edge;resource_allocation_scheduling;performance_measurement	高性能分布式计算；集群；云边计算；运行时；中间件；任务调度；资源管理；数据密集计算；性能；容错	high-performance distributed computing;cluster;cloud edge computing;runtime;middleware;scheduling;resource management;data-intensive computing;performance;resilience	original_research;systems_experience	yes	open	main_track	2026	普通分布式应用若无高性能、规模、调度或系统贡献通常不匹配。	official_cfp	https://hpdc.sci.utah.edu/2026/calls.html	2026-08-06	主会围绕高性能并行与分布式计算。 官方范围要点：高性能并行与分布式计算系统，包括集群、云、边缘、网格、运行时与中间件、资源调度、数据密集计算、性能、能效和韧性。	approved	project-curation	2026-08-06	按 HPDC technical papers 整理。		active_target
ccf-2026-sigcomm-main-2026	ccf	2026	conference	ACM International Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication	SIGCOMM	数据通信网络与网络化系统，覆盖网络架构、协议、硬件软件、无线与有线网络、资源管理、测量、性能、可靠性、安全、隐私和 AI for networking。	network_arch_protocols;datacenter_networking;wireless_mobile;performance_measurement	计算机网络；网络架构；网络协议；数据中心网络；有线无线网络；拥塞控制；资源管理；网络测量；网络安全；网络智能	computer network;network architecture;network protocol;data-center network;wired wireless network;congestion control;resource management;network measurement;network security;AI for networking	original_research;systems_experience	yes	open	main_track	2026	综述和教程不属于研究轨；缺少网络研究贡献的通用分布式应用不匹配。	official_cfp	https://conferences.sigcomm.org/sigcomm/2026/cfp/	2026-08-06	主会对通信网络和网络化系统采取宽口径。 官方范围要点：数据通信网络与网络化系统，覆盖网络架构、协议、硬件软件、无线与有线网络、资源管理、测量、性能、可靠性、安全、隐私和 AI for networking。	approved	project-curation	2026-08-06	已核对 2026 research/experience 主轨。		active_target
ccf-2026-mobicom-main-2026	ccf	2026	conference	ACM International Conference on Mobile Computing and Networking	MobiCom	移动与无线计算和网络系统，包括蜂窝与 Wi-Fi、移动边缘、物联网、无线感知、定位、移动应用、能效、安全和实验系统。	wireless_mobile;edge_networking;iot_sensor;network_arch_protocols	移动计算；无线网络；蜂窝网络；Wi-Fi；移动边缘计算；物联网；无线感知；定位；移动系统；无线安全	mobile computing;wireless network;cellular network;Wi-Fi;mobile edge computing;Internet of Things;wireless sensing;localization;mobile system;wireless security	original_research;systems_experience	yes	open	main_track	2026	纯物理层算法若没有移动计算、网络或系统贡献通常不匹配。	official_cfp	https://www.sigmobile.org/mobicom/2026/cfp.html	2026-08-06	主会聚焦移动计算与无线网络系统。 官方范围要点：移动与无线计算和网络系统，包括蜂窝与 Wi-Fi、移动边缘、物联网、无线感知、定位、移动应用、能效、安全和实验系统。	approved	project-curation	2026-08-06	按 MobiCom main conference 整理。		active_target
ccf-2026-infocom-main-2026	ccf	2026	conference	IEEE International Conference on Computer Communications	INFOCOM	计算机与通信网络的协议、算法、系统和实验研究，包括无线与移动网络、资源分配、网络优化、边缘物联网、测量、安全和机器学习网络。	network_arch_protocols;wireless_mobile;resource_allocation_scheduling;edge_networking	通信网络；网络协议；无线网络；移动网络；资源分配；网络优化；调度；边缘计算；物联网；网络测量；网络安全	communication network;network protocol;wireless network;mobile network;resource allocation;network optimization;scheduling;edge computing;Internet of Things;network measurement;network security	original_research	yes	open	main_track	2026	仅有通信物理层波形或器件创新、缺少网络层问题与评价的工作通常不匹配。	official_cfp	https://infocom2026.ieee-infocom.org/call-papers	2026-08-06	主会覆盖计算机通信网络的理论、协议、系统与实验。	approved	project-curation	2026-08-06	重点加入网络资源分配和优化标签。		active_target
ccf-2026-nsdi-main-2026	ccf	2026	conference	Symposium on Network System Design and Implementation	NSDI	网络化与分布式系统的设计、实现和实际评估，包括云与多租户、分布式存储、虚拟化、资源管理、网络测量、可靠性、安全及 ML systems。	network_arch_protocols;distributed_cloud_edge;datacenter_networking;resource_allocation_scheduling	网络化系统；分布式系统；云系统；分布式存储；虚拟化；资源管理；网络测量；可靠性；系统安全；机器学习系统	networked system;distributed system;cloud system;distributed storage;virtualization;resource management;network measurement;reliability;system security;machine learning system	original_research;systems_experience	yes	open	main_track	2026	明确排除以波束成形、调制等物理层，手势感知、环境制图以及纯硬件架构为核心的论文。负向关键词：波束成形；beamforming；调制；modulation；物理层；physical layer；手势感知；环境制图；硬件架构。	official_cfp	https://www.usenix.org/conference/nsdi26/call-for-papers	2026-08-06	主会强调网络化系统设计与实现，并列出明确排除项。	approved	project-curation	2026-08-06	保留 CFP 的显式 out-of-scope 边界。		active_target
ccf-2026-ccs-main-2026	ccf	2026	conference	ACM Conference on Computer and Communications Security	CCS	计算机与通信安全的理论、系统和实证研究，包括系统与软件安全、网络安全、密码应用、隐私、身份认证、硬件安全、社会技术安全和安全测量。	system_security;network_security;software_security;privacy_anonymity	系统安全；软件安全；网络安全；应用密码；隐私；身份认证；硬件安全；恶意软件；安全测量；社会技术安全	system security;software security;network security;applied cryptography;privacy;authentication;hardware security;malware;security measurement;socio-technical security	original_research;systems_experience	yes	open	main_track	2026	纯密码理论更适合 CRYPTO/EUROCRYPT；普通网络或软件工作需以安全贡献为核心。	official_cfp	https://www.sigsac.org/ccs/CCS2026/call-for/call-for-papers.html	2026-08-06	主会覆盖计算机与通信安全的广泛研究主题。	approved	project-curation	2026-08-06	按 CCS main technical track 整理。		active_target
ccf-2026-eurocrypt-main-2026	ccf	2026	conference	International Conference on the Theory and Applications of Cryptographic Techniques	EUROCRYPT	密码学基础理论、原语、协议及其安全分析和实现，包括公钥与对称密码、零知识、多方计算、后量子密码、隐私增强技术和应用密码。	cryptography;privacy_anonymity;hardware_security	密码学；密码协议；零知识证明；多方安全计算；后量子密码；同态加密；隐私增强；密码实现	cryptography;cryptographic protocol;zero-knowledge proof;secure multiparty computation;post-quantum cryptography;homomorphic encryption;privacy-enhancing technology;cryptographic implementation	original_research;theory_methods	yes	open	main_track	2026	仅使用密码工具但没有密码学新贡献的通用安全系统论文通常不匹配。	official_cfp	https://eurocrypt.iacr.org/2026/callforpapers.php	2026-08-06	IACR 主会征集所有密码学主题的原创研究。	approved	project-curation	2026-08-06	按 EUROCRYPT 2026 主会范围整理。		active_target
ccf-2026-sp-main-2026	ccf	2026	conference	IEEE Symposium on Security and Privacy	S&P	安全与隐私的基础、系统和实证研究，包括系统、软件、网络、硬件、数据与 AI 安全，隐私、密码应用、测量、人因与社会技术安全。	system_security;privacy_anonymity;software_security;network_security	系统安全；隐私；软件安全；网络安全；硬件安全；AI安全；安全测量；人因安全；应用密码	system security;privacy;software security;network security;hardware security;AI security;security measurement;human-centered security;applied cryptography	original_research;systems_experience	yes	open	main_track	2026	论文必须把安全或隐私问题及贡献置于核心，而非仅把安全作为应用场景。	official_cfp	https://sp2026.ieee-security.org/cfpapers.html	2026-08-06	主会覆盖安全与隐私的广泛技术和实证方向。	approved	project-curation	2026-08-06	按 main conference papers 整理。		active_target
ccf-2026-crypto-main-2026	ccf	2026	conference	International Cryptology Conference	CRYPTO	密码学的理论与应用，包括基础理论、密码原语与协议、零知识、多方计算、格与后量子密码、量子密码、隐私技术及安全实现。	cryptography;privacy_anonymity;theory_methods	密码学理论；密码原语；密码协议；零知识；多方计算；格密码；后量子密码；量子密码；隐私；侧信道	cryptographic theory;cryptographic primitive;protocol;zero knowledge;multiparty computation;lattice cryptography;post-quantum cryptography;quantum cryptography;privacy;side channel	original_research;theory_methods	yes	open	main_track	2026	单纯使用现有密码机制的系统论文通常不属于核心范围。	official_cfp	https://crypto.iacr.org/2026/callforpapers.php	2026-08-06	IACR 主会面向所有密码学主题的原创研究。	approved	project-curation	2026-08-06	按 CRYPTO 2026 主会整理。		active_target
ccf-2026-usenix-security-main-2026	ccf	2026	conference	USENIX Security Symposium	USENIX Security	安全与隐私的系统、实证和应用研究，包括操作系统、网络、软件、Web、移动、硬件、AI、安全测量、取证、人因与真实部署。	system_security;network_security;software_security;forensics_trust	系统安全；网络安全；软件安全；Web安全；移动安全；硬件安全；AI安全；安全测量；数字取证；人因安全	system security;network security;software security;web security;mobile security;hardware security;AI security;security measurement;digital forensics;usable security	original_research;systems_experience	yes	open	main_track	2026	纯密码理论或没有实质安全贡献的通用系统研究通常不匹配。	official_cfp	https://www.usenix.org/conference/usenixsecurity26/call-for-papers	2026-08-06	主会聚焦安全与隐私的高质量系统和实证研究。	approved	project-curation	2026-08-06	修正此前误连 WOOT workshop 的来源。		active_target
ccf-2026-ndss-main-2026	ccf	2026	conference	Network and Distributed System Security Symposium	NDSS	网络与分布式系统安全，包括协议、网络基础设施、Web、移动与物联网、云、软件、硬件、隐私、测量和可部署防御。	network_security;system_security;software_security;privacy_anonymity	网络安全；分布式系统安全；协议安全；Web安全；移动与物联网安全；云安全；隐私；恶意软件；安全测量	network security;distributed system security;protocol security;web security;mobile IoT security;cloud security;privacy;malware;security measurement	original_research;systems_experience	yes	open	main_track	2026	纯密码理论或与网络/分布式系统缺乏联系的安全工作通常不匹配。	official_cfp	https://www.ndss-symposium.org/ndss2026/submissions/call-for-papers/	2026-08-06	主会范围以网络和分布式系统安全为中心。 官方范围要点：网络与分布式系统安全，包括协议、网络基础设施、Web、移动与物联网、云、软件、硬件、隐私、测量和可部署防御。	approved	project-curation	2026-08-06	按 NDSS technical papers 整理。		active_target
ccf-2026-pldi-main-2026	ccf	2026	conference	ACM SIGPLAN Conference on Programming Language Design and Implementation	PLDI	编程语言设计与实现，包括编译器、程序分析、运行时、程序优化、并发与并行语言、领域专用语言、程序合成和软硬件协同。	programming_languages;compilers_runtime;testing_analysis;program_synthesis	编程语言；编译器；程序分析；运行时；编译优化；并发编程；领域专用语言；程序合成；软硬件协同	programming language;compiler;program analysis;runtime;compiler optimization;concurrent programming;domain-specific language;program synthesis;hardware-software co-design	original_research;systems_experience	yes	open	main_track	2026	仅使用现有语言或编译器而没有语言、实现或程序分析贡献的应用论文不匹配。	official_cfp	https://pldi26.sigplan.org/track/pldi-2026-papers	2026-08-06	主会研究轨覆盖程序语言设计、实现与应用。	approved	project-curation	2026-08-06	修正自动摘取 not_relevant 状态。		active_target
ccf-2026-popl-main-2026	ccf	2026	conference	ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages	POPL	程序语言的基础原理，包括类型系统、语义、逻辑、程序验证与分析、语言设计、并发、概率与量子编程、安全编译和程序合成。	programming_languages;logic_semantics;formal_methods_verification;program_synthesis	程序语言原理；类型系统；程序语义；程序逻辑；形式化验证；程序分析；并发；概率编程；量子编程；程序合成	principles of programming languages;type system;program semantics;program logic;formal verification;program analysis;concurrency;probabilistic programming;quantum programming;program synthesis	original_research;theory_methods	yes	open	main_track	2026	普通软件工程或仅实现语言工具、缺少原理性贡献的论文通常不匹配。	official_cfp	https://popl26.sigplan.org/track/POPL-2026-popl-research-papers	2026-08-06	研究轨覆盖程序语言的原理、分析与验证。 官方范围要点：程序语言的基础原理，包括类型系统、语义、逻辑、程序验证与分析、语言设计、并发、概率与量子编程、安全编译和程序合成。	approved	project-curation	2026-08-06	按 POPL research papers 整理。		active_target
ccf-2026-fse-main-2026	ccf	2026	conference	ACM International Conference on the Foundations of Software Engineering	FSE	软件工程理论、方法、工具和实证研究，包括需求、设计、维护、演化、测试、调试、程序分析、软件仓库、AI for SE 和人因。	software_engineering;testing_analysis;program_synthesis	软件工程；需求工程；软件设计；维护演化；软件测试；调试；程序分析；软件仓库；自动修复；AI辅助软件工程	software engineering;requirements engineering;software design;maintenance evolution;software testing;debugging;program analysis;software repository;automated repair;AI for software engineering	original_research;systems_experience	yes	open	main_track	2026	不包含 Fast Software Encryption；纯 AI 方法需有明确的软件工程问题与评价。	official_cfp	https://conf.researchr.org/track/fse-2026/fse-2026-research-papers	2026-08-06	研究轨覆盖软件工程基础与实践。 官方范围要点：软件工程理论、方法、工具和实证研究，包括需求、设计、维护、演化、测试、调试、程序分析、软件仓库、AI for SE 和人因。	approved	project-curation	2026-08-06	使用完整名称锚定，避免 FSE 简称碰撞。		active_target
ccf-2026-sosp-main-2026	ccf	2026	conference	ACM Symposium on Operating Systems Principles	SOSP	操作系统和广义计算机系统，包括分布式、云边、存储、虚拟化、安全可靠系统、机器学习系统、嵌入式实时系统及系统管理与调试。	operating_systems;distributed_cloud_edge;storage_filesystems;ai_systems	操作系统；分布式系统；云边系统；存储系统；虚拟化；安全可靠系统；机器学习系统；嵌入式系统；系统调试	operating system;distributed system;cloud edge system;storage system;virtualization;secure reliable system;machine learning system;embedded system;system debugging	original_research;systems_experience	yes	open	main_track	2026	缺少系统原理、设计、实现或实践贡献的纯算法和应用论文不匹配。	official_cfp	https://sigops.org/s/conferences/sosp/2026/cfp.html	2026-08-06	官方 2026 SOSP CFP 面向操作系统、分布式系统、云与边缘、存储、网络、系统安全、运行时和软硬件协同等系统软件研究。	approved	project-curation	2026-08-06	按 SOSP main track 整理。		active_target
ccf-2026-oopsla-main-2026	ccf	2026	conference	Conference on Object-Oriented Programming Systems, Languages, and Applications	OOPSLA	编程语言与软件系统研究，包括语言设计与实现、类型与语义、程序分析、编译器与运行时、并发、软件开发方法和实证研究。	programming_languages;compilers_runtime;software_engineering;testing_analysis	编程语言；语言设计；类型系统；程序语义；程序分析；编译器；运行时；并发；软件开发；实证软件工程	programming language;language design;type system;program semantics;program analysis;compiler;runtime;concurrency;software development;empirical software engineering	original_research;systems_experience	yes	open	main_track	2026	面向对象只是历史名称，不要求论文必须研究面向对象；但需有语言或软件系统贡献。	official_cfp	https://2026.splashcon.org/track/splash-2026-oopsla	2026-08-06	OOPSLA 研究轨覆盖程序语言和软件系统。	approved	project-curation	2026-08-06	按 PACMPL OOPSLA track 整理。		active_target
ccf-2026-ase-main-2026	ccf	2026	conference	International Conference on Automated Software Engineering	ASE	软件工程自动化，包括程序分析、测试与调试、程序修复与合成、需求与设计自动化、软件演化、AI/ML for SE 和开发工具实证评估。	software_engineering;testing_analysis;program_synthesis	自动化软件工程；程序分析；软件测试；调试；自动修复；程序合成；需求工程；软件演化；AI辅助开发	automated software engineering;program analysis;software testing;debugging;automated repair;program synthesis;requirements engineering;software evolution;AI for software development	original_research;systems_experience	yes	open	main_track	2026	通用 AI 方法若没有软件工程任务、开发流程或软件工件上的实证贡献不匹配。	official_cfp	https://conf.researchr.org/track/ase-2026/ase-2026-papers	2026-08-06	主会聚焦软件工程活动的自动化。 官方范围要点：软件工程自动化，包括程序分析、测试与调试、程序修复与合成、需求与设计自动化、软件演化、AI/ML for SE 和开发工具实证评估。	approved	project-curation	2026-08-06	按 ASE research track 整理。		active_target
ccf-2026-icse-main-2026	ccf	2026	conference	International Conference on Software Engineering	ICSE	软件工程全领域的原创与实证研究，包括需求、架构、设计、开发、测试、维护演化、协作、人因、AI for SE、教育及工业实践。	software_engineering;testing_analysis;industry_application	软件工程；需求；软件架构；设计；开发；测试；维护演化；DevOps；开发者协作；人因；AI辅助软件工程	software engineering;requirements;software architecture;design;development;testing;maintenance evolution;DevOps;developer collaboration;human factors;AI for software engineering	original_research;systems_experience;applied_research	yes	open	main_track	2026	纯算法或 AI 工作需围绕明确的软件工程问题并在相应工件或开发场景中评价。	official_cfp	https://conf.researchr.org/track/icse-2026/icse-2026-research-track	2026-08-06	研究轨覆盖软件工程理论、方法和实证结果。	approved	project-curation	2026-08-06	仅采用 research track，不混入其他附属轨。		active_target
ccf-2026-issta-main-2026	ccf	2026	conference	International Symposium on Software Testing and Analysis	ISSTA	软件测试与分析，包括静态与动态分析、测试生成、模糊测试、调试、缺陷定位、程序修复、验证、可靠性和 AI 软件测试。	testing_analysis;software_engineering;formal_methods_verification	软件测试；程序分析；测试生成；模糊测试；调试；缺陷定位；自动修复；程序验证；软件可靠性；AI测试	software testing;program analysis;test generation;fuzzing;debugging;fault localization;automated repair;program verification;software reliability;AI testing	original_research;systems_experience	yes	open	main_track	2026	一般软件开发方法若不以测试、分析、调试或可靠性为核心通常不匹配。	official_cfp	https://conf.researchr.org/track/issta-2026/issta-2026-technical-papers	2026-08-06	技术论文轨聚焦软件测试与分析。 官方范围要点：软件测试与分析，包括静态与动态分析、测试生成、模糊测试、调试、缺陷定位、程序修复、验证、可靠性和 AI 软件测试。	approved	project-curation	2026-08-06	按 ISSTA technical papers 整理。		active_target
ccf-2026-osdi-main-2026	ccf	2026	conference	USENIX Symposium on Operating Systems Design and Implementation	OSDI	操作系统和计算机系统的设计与实现，包括文件与存储系统、分布式与云系统、可靠系统、网络系统、虚拟化、安全、移动与嵌入式、ML systems 和软硬件协同。	operating_systems;distributed_cloud_edge;storage_filesystems;ai_systems	操作系统；系统设计实现；文件系统；存储系统；分布式系统；云系统；可靠系统；网络系统；虚拟化；安全；移动嵌入式；机器学习系统	operating system;system design implementation;file system;storage system;distributed system;cloud system;reliable system;networked system;virtualization;security;mobile embedded system;machine learning system	original_research;systems_experience	yes	open	main_track	2026	缺少系统设计、实现与可信评估的纯理论或应用工作不匹配。	official_cfp	https://www.usenix.org/conference/osdi26/call-for-papers	2026-08-06	主会明确包含 operating systems、file and storage systems 以及 secure and reliable systems。	approved	project-curation	2026-08-06	按 OSDI 2026 主会 CFP 补齐文件/存储与可靠系统词。		active_target
ccf-2026-fm-main-2026	ccf	2026	conference	International Symposium on Formal Methods	FM	形式化方法的理论、工具与应用，包括规范、建模、模型检测、定理证明、程序验证、运行时验证、混合与信息物理系统和可信 AI。	formal_methods_verification;logic_semantics;testing_analysis	形式化方法；形式化规范；模型检测；定理证明；程序验证；运行时验证；混合系统；信息物理系统；可信AI	formal methods;formal specification;model checking;theorem proving;program verification;runtime verification;hybrid system;cyber-physical system;trustworthy AI	original_research;theory_methods;systems_experience	yes	open	main_track	2026	仅做常规测试或仿真、没有形式化模型、证明或验证方法贡献的论文不匹配。	official_cfp	https://www.fm26.polimi.it/call-for-papers/	2026-08-06	主会覆盖形式化方法的研究与工业应用。 官方范围要点：形式化方法的理论、工具与应用，包括规范、建模、模型检测、定理证明、程序验证、运行时验证、混合与信息物理系统和可信 AI。	approved	project-curation	2026-08-06	按 FM research papers 整理。		active_target
