dataset,source,source_file,version_year,record_type,name,收稿方向,abbreviation,issn,eissn,issn_eissn,publisher,url,area,area_en,level,sequence,impact_factor,wos_index,top,source_page,notes,cas_review,cas_oa_journal_index,cas_open_access,cas_label,cas_major_area,cas_major_partition,cas_major_rank,cas_subject_1,cas_subject_partition_1,cas_subject_rank_1,cas_subject_2,cas_subject_partition_2,cas_subject_rank_2,cas_subject_3,cas_subject_partition_3,cas_subject_rank_3,cas_subject_4,cas_subject_partition_4,cas_subject_rank_4,cas_subject_5,cas_subject_partition_5,cas_subject_rank_5,cas_subject_6,cas_subject_partition_6,cas_subject_rank_6,jcr_category_1,jcr_quartile_1,jcr_rank_1,jcr_category_2,jcr_quartile_2,jcr_rank_2,jcr_category_3,jcr_quartile_3,jcr_rank_3,jcr_category_4,jcr_quartile_4,jcr_rank_4,jcr_category_5,jcr_quartile_5,jcr_rank_5,jcr_category_6,jcr_quartile_6,jcr_rank_6,收稿方向_官网摘取,收稿方向_来源URL,收稿方向_证据,收稿方向_置信度,收稿方向_状态,收稿方向_更新时间
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming,高性能计算；High Performance Computing,PPoPP,,,,,,高性能计算,High Performance Computing,A,11,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPoPP是并行编程领域的顶级论坛，涵盖并行与性能编程的理论基础、技术、语言、编译器、运行时系统、工具、应用及实践经验，关注多核、多线程、异构、集群、分布式系统、加速器（如ASIC、GPU、FPGA）、数据中心、云、大规模机器及量子计算机，以及新兴并行工作负载（如AI和大规模科学/企业负载）。；关键词：并行编程；性能编程；多核系统；异构计算；GPU；FPGA；分布式系统；编译器；运行时系统；人工智能工作负载；大规模科学计算,https://ppopp26.sigplan.org/,The ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming (PPoPP) is the premier forum for leading wo,high,ok,2026-07-30T12:11:54+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,Design Automation Conference,高性能计算；High Performance Computing,DAC,,,,,,高性能计算,High Performance Computing,A,12,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:13:54+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,International Symposium on High Performance Distributed Computing,高性能计算；High Performance Computing,HPDC,,,,,,高性能计算,High Performance Computing,B,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:13:57+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,ACM Symposium on Cloud Computing,高性能计算；High Performance Computing,SoCC,,,,,,高性能计算,High Performance Computing,B,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:14:00+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,Real-Time and Embedded Technology and Applications Symposium,高性能计算；High Performance Computing,RTAS,,,,,,高性能计算,High Performance Computing,B,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:14:04+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,Mass Storage Systems and Technologies,高性能计算；High Performance Computing,MSST,,,,,,高性能计算,High Performance Computing,B,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:14:07+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,ACM/IEEE International Symposium on Code Generation and Optimization,高性能计算；High Performance Computing,CGO,,,,,,高性能计算,High Performance Computing,B,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:14:10+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,International Conference on Parallel Architectures and Compilation Techniques,高性能计算；High Performance Computing,PACT,,,,,,高性能计算,High Performance Computing,B,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:14:13+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,International Conference on Hardware/Software Co-design and System Synthesis,高性能计算；High Performance Computing,CODES+ISSS,,,,,,高性能计算,High Performance Computing,B,7,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:14:15+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,ACM Symposium on Principles of Distributed Computing,高性能计算；High Performance Computing,PODC,,,,,,高性能计算,High Performance Computing,B,8,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:14:20+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,International Conference on Virtual Execution Environments,高性能计算；High Performance Computing,VEE,,,,,,高性能计算,High Performance Computing,B,9,,,,2,superseded: TH-CPL 2019 历史征稿页，已由当前年度范围取代。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,涵盖虚拟化技术，包括硬件、操作系统、运行时系统支持，以及云计算、HPC、安全、内存管理、虚拟I/O等应用领域。；关键词：虚拟化；操作系统；运行时系统；云计算；HPC；安全；内存管理；虚拟I/O,https://conf.researchr.org/track/vee-2019/vee-2019-papers#Call-for-Papers,已废止自动候选：TH-CPL 2019 历史征稿页，已由当前年度范围取代。 Topics of interest include architecture support for virtualization; ... virtualization technologies applied to specific,low,superseded,2026-07-30T12:14:31+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,International Parallel & Distributed Processing Symposium,高性能计算；High Performance Computing,IPDPS,,,,,,高性能计算,High Performance Computing,B,10,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:14:34+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,International Conference on Supercomputing,高性能计算；High Performance Computing,ICS,,,,,,高性能计算,High Performance Computing,B,11,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:14:38+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,"Design, Automation & Test in Europe Conference",高性能计算；High Performance Computing,DATE,,,,,,高性能计算,High Performance Computing,B,12,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:14:42+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,ACM Symposium on Parallelism in Algorithms and Architectures,高性能计算；High Performance Computing,SPAA,,,,,,高性能计算,High Performance Computing,B,13,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:14:46+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,"International Symposium on Computer Performance, Modeling, Measurements and Evaluation",高性能计算；High Performance Computing,Performance,,,,,,高性能计算,High Performance Computing,B,14,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:14:49+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,International Conference on Distributed Computing Systems,高性能计算；High Performance Computing,ICDCS,,,,,,高性能计算,High Performance Computing,B,15,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:14:53+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,International Conference on Computer-Aided Design,高性能计算；High Performance Computing,ICCAD,,,,,,高性能计算,High Performance Computing,B,16,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,涵盖电子设计自动化全谱系，从器件级物理到系统级架构，包括逻辑综合、验证、物理设计、制造、嵌入式系统、物联网、信息物理系统、3D IC、小芯片、先进封装、硬件安全、低功耗计算、可重构架构、AI集成（生成式AI、加速器、具身智能）、量子、神经形态、后CMOS计算等。；关键词：电子设计自动化；逻辑综合；验证；物理设计；3D IC；硬件安全；低功耗计算；AI集成；量子计算；后CMOS计算,https://iccad2026.hotcrp.com/,"explores the full spectrum of electronic design automation, extending from device-level physics to system-level architec",high,ok,2026-07-30T12:11:54+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",高性能计算；High Performance Computing,CCGRID,,,,,,高性能计算,High Performance Computing,B,17,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,涵盖分布式系统与应用的广泛领域，包括硬件架构、软件系统、可持续计算、性能优化、安全隐私、AI/ML系统等。；关键词：分布式系统；高性能计算；云计算；边缘计算；可持续计算；AI/ML系统；安全与隐私,https://ccgrid2026.org/cfp.html,"We invite original, high-quality papers that address fundamental research and emerging challenges across a broad spectru",high,ok,2026-07-30T12:11:54+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,Hot Chips: A Symposium on High Performance Chips,高性能计算；High Performance Computing,HOT CHIPS,,,,,,高性能计算,High Performance Computing,B,18,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:14:55+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,IEEE International Conference on Cluster Computing,高性能计算；High Performance Computing,CLUSTER,,,,,,高性能计算,High Performance Computing,B,19,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:14:58+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,Asia and South Pacific Design Automation Conference,高性能计算；High Performance Computing,ASP-DAC,,,,,,高性能计算,High Performance Computing,B,20,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,涵盖VLSI设计自动化全流程，包括系统级建模、嵌入式/CPS/IoT、存储与近存计算、AI工具与硬件、光/射频/模拟混合信号、近似与神经形态计算、逻辑综合、物理设计、可制造性/低功耗、测试验证、硬件安全、新兴器件与应用等13个主题。；关键词：VLSI设计自动化；EDA；AI硬件加速；物理设计；低功耗设计；硬件安全；新兴器件,https://www.aspdac.com/aspdac2027/cfp/,"Areas of Interest: Original papers in, but not limited to, the following areas are invited.",high,ok,2026-07-30T12:11:54+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,International Symposium on Low Power Electronics and Design,高性能计算；High Performance Computing,ISLPED,,,,,,高性能计算,High Performance Computing,B,21,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:15:02+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,IEEE International Conference on Cloud Computing,高性能计算；High Performance Computing,,,,,,,高性能计算,High Performance Computing,B,22,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,涵盖云架构与基础设施、云管理与运维、可持续云计算、云安全与隐私、新兴技术中的云计算（如AI/ML、边缘智能、IoT、数字孪生、量子计算、5G/6G、区块链）以及云经济学等XaaS全范式创新。；关键词：Cloud Architecture；Cloud Management；Sustainable Cloud；Cloud Security；AI/ML in Cloud；Edge Intelligence；IoT；Digital Twins；Quantum Computing；5G/6G；Blockchain；Cloud Economics,https://services.conferences.computer.org/2026/cloud/cloud-call-for-papers,Topics of interest include but are not limited to the following: Cloud Architecture and Infrastructure...,high,ok,2026-07-30T12:11:54+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,Real-Time Systems Symposium,高性能计算；High Performance Computing,RTSS,,,,,,高性能计算,High Performance Computing,B,23,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTSS是实时系统领域的顶级会议，涵盖实时系统的理论、设计、分析、实现、验证、评估和实践经验，包括实时调度、时序分析、实时网络、AI与实时系统交叉等方向。；关键词：实时系统；调度算法；时序分析；实时网络；AI for 实时系统；嵌入式系统；形式化验证,https://2026.rtss.org/cfp/,The IEEE Real-Time Systems Symposium (RTSS) is the premier conference in the field of real-time systems,high,ok,2026-07-30T12:11:54+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,International Conference on Computer Design,高性能计算；High Performance Computing,ICCD,,,,,,高性能计算,High Performance Computing,B,24,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:15:08+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,International Symposium on Circuits and Systems,高性能计算；High Performance Computing,ISCAS,,,,,,高性能计算,High Performance Computing,B,25,,,,3,superseded: TH-CPL 2019 历史征稿页，已由当前年度范围取代。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,电路与系统的理论、设计与实现，涵盖电路与系统领域的前沿研究，包括常规会议、特邀报告、现场演示、教程等，重点关注电路与系统在可持续社会中的应用。；关键词：电路理论；系统设计；电路实现；信号处理；可持续社会；电路与系统,https://www.iscas2019.org/,"已废止自动候选：TH-CPL 2019 历史征稿页，已由当前年度范围取代。 theory, design and implementation of circuits and systems",low,superseded,2026-07-30T12:15:24+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,International Symposium on Physical Design,高性能计算；High Performance Computing,ISPD,,,,,,高性能计算,High Performance Computing,B,26,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,涵盖集成电路物理设计的各个方面，包括布图规划、分区、布局布线、时序与功耗优化、时钟与电源网络、可制造性设计、机器学习与硬件安全、3D IC、量子电路等新兴技术。；关键词：物理设计；布局布线；时序优化；功耗优化；可制造性设计；机器学习；硬件安全；3D IC；量子电路,https://easychair.org/cfp/ispd26,The International Symposium on Physical Design (ISPD) provides a premier forum to exchange ideas and promote innovative ,high,ok,2026-07-30T12:11:54+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,International Conference on Parallel Processing,高性能计算；High Performance Computing,ICPP,,,,,,高性能计算,High Performance Computing,B,27,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:15:26+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,IEEE International Electron Devices Meeting,高性能计算；High Performance Computing,IEDM,,,,,,高性能计算,High Performance Computing,B,28,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:15:30+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,conference,International Solid-State Circuits Conference,高性能计算；High Performance Computing,ISSCC,,,,,,高性能计算,High Performance Computing,B,29,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:15:32+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,journal,ACM Transactions on Computer Systems,高性能计算；High Performance Computing,TOCS,,,,,,高性能计算,High Performance Computing,A,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bad_source_domain:jrank.net,low,untrusted_source_domain:jrank.net,2026-07-30T12:15:45+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,journal,IEEE Transactions on Parallel and Distributed Systems,高性能计算；High Performance Computing,TPDS,,,,,,高性能计算,High Performance Computing,A,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:15:48+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,journal,IEEE Transactions on Computers,高性能计算；High Performance Computing,TC,,,,,,高性能计算,High Performance Computing,A,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://xplorestaging.ieee.org/xpl/aboutJournal.jsp?punumber=12,页面仅包含IEEE Xplore通用帮助和账户信息，无期刊范围或征稿内容,low,not_relevant,2026-07-30T12:15:59+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,journal,IEEE Transactions On Computer-Aided Design Of Integrated Circuits And Systems,高性能计算；High Performance Computing,TCAD,,,,,,高性能计算,High Performance Computing,A,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:16:02+00:00
th_cpl,清华大学计算机学科群推荐学术会议和期刊列表（TH-CPL）,TH-CPL.csv,2019,journal,ACM Transactions on Storage,高性能计算；High Performance Computing,TOS,,,,,,高性能计算,High Performance Computing,A,5,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate_pages,2026-07-30T12:16:06+00:00
